Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
yes,KIBUMBIRO B,7,male,25,satisfied
no,Village 11 ,3,male,23,dissatisfied
no,Village 11 ,11,male,27,very_satisfied
yes,KIBUMBIRO B,10,female,36,dissatisfied
no,VILLAGE 16,50,male,50,neither_satisf
yes,KIBUMBIRO B,18,male,18,satisfied
no,VILLAGE 16,48,female,48,very_dissatisf
no,VILLAGE 16,2,female,24,very_dissatisf
no,Village 11 ,29,male,37,very_satisfied
no,Village 11 ,22,male,70,satisfied
no,Village 11 ,6,male,31,neither_satisf
no,Village 11 ,2,male,40,satisfied
no,VILLAGE 16,20,female,20,dissatisfied
no,Village 11 ,3,male,32,satisfied
no,Village 11 ,9,male,39,satisfied
no,VILLAGE 16,23,male,23,dissatisfied
no,VILLAGE 16,2,male,23,neither_satisf
no,VILLAGE 16,5,female,40,very_dissatisf
no,VILLAGE 16,1,male,20,satisfied
no,VILLAGE 16,2,male,18,satisfied
no,CHURCH,1,female,20,neither_satisf
no,CHURCH,8,male,55,dissatisfied
no,CHURCH,1,female,28,neither_satisf
no,CHURCH,3,female,29,very_dissatisf
no,CHURCH,11,female,32,dissatisfied
no,CHURCH,8,female,35,satisfied
no,NAMUNGONA I,27,male,27,dissatisfied
yes,ZONE V,3,female,27,very_dissatisf
no,NAMUNGONA I,2,male,24,satisfied
yes,SUSANA,65,male,65,very_dissatisf
yes,SUSANA,2,female,35,very_dissatisf
yes,SUSANA,12,female,23,satisfied
no,NAMUNGONA I,7,male,40,very_dissatisf
no,NAMUNGONA I,20,female,40,very_dissatisf
yes,SUSANA,19,male,19,dissatisfied
yes,ZONE V,10,male,32,very_dissatisf
yes,ZONE V,2,female,30,dissatisfied
yes,SUSANA,22,female,22,very_dissatisf
yes,ZONE V,2,female,25,dissatisfied
yes,SUSANA,4,male,21,neither_satisf
no,NAMUNGONA I,37,male,37,very_dissatisf
yes,KIZITO,8,female,35,dissatisfied
no,NAMUNGONA I,16,female,36,very_dissatisf
no,NAMUNGONA I,23,male,23,dissatisfied
yes,ZONE V,1,female,19,dissatisfied
no,MAKAMBA,10,female,37,neither_satisf
yes,KIZITO,1,female,20,neither_satisf
yes,KIZITO,30,male,65,very_dissatisf
yes,KIZITO,2,male,19,dissatisfied
no,NAMUNGONA I,22,female,40,satisfied
no,MAKAMBA,4,male,23,neither_satisf
yes,SUSANA,1,female,23,very_satisfied
yes,KITAWULIZI,17,male,19,dissatisfied
no,MAKAMBA,1,male,34,neither_satisf
yes,SUSANA,4,female,18,satisfied
yes,SUSANA,3,male,22,dissatisfied
yes,KIZITO,6,female,27,neither_satisf
yes,KIZITO,3,male,37,very_dissatisf
yes,SUSANA,2,male,21,very_dissatisf
no,NAMUNGONA I,15,male,52,dissatisfied
yes,KIZITO,1,female,29,very_dissatisf
yes,ZONE V,1,female,22,dissatisfied
yes,SUSANA,10,female,40,satisfied
yes,KITAWULIZI,2,male,26,very_dissatisf
yes,KITAWULIZI,21,male,42,dissatisfied
yes,KITAWULIZI,4,female,19,very_dissatisf
yes,ZONE V,1,male,37,dissatisfied
yes,KITAWULIZI,10,female,20,satisfied
no,NAMUNGONA I,5,male,60,very_dissatisf
yes,KIZITO,32,male,32,dissatisfied
